2024-01-15 00:33:05,636 INFO    wandb-upload_0:37751 [upload_job.py:push():131] Uploaded file /var/folders/yy/57q0npbn70z34z8zndlby78w0000gn/T/tmpait5sp8awandb/sc3i6w09-wandb-metadata.json
2024-01-15 00:33:07,595 INFO    Thread-17 :37751 [dir_watcher.py:_on_file_modified():288] file/dir modified: /Users/miav1/Desktop/university/2023/github/stable-diffusion-finetune/wandb/run-20240115_003259-tqn5wf5y/files/output.log
2024-01-15 00:33:10,322 DEBUG   HandlerThread:37751 [handler.py:handle_request():146] handle_request: status_report
2024-01-15 00:33:15,327 DEBUG   HandlerThread:37751 [handler.py:handle_request():146] handle_request: status_report
2024-01-15 00:33:20,058 DEBUG   HandlerThread:37751 [handler.py:handle_request():146] handle_request: stop_status
2024-01-15 00:33:20,059 DEBUG   HandlerThread:37751 [handler.py:handle_request():146] handle_request: internal_messages
2024-01-15 00:33:20,060 DEBUG   SenderThread:37751 [sender.py:send_request():409] send_request: stop_status
2024-01-15 00:33:21,265 DEBUG   HandlerThread:37751 [handler.py:handle_request():146] handle_request: status_report
2024-01-15 00:33:26,275 DEBUG   HandlerThread:37751 [handler.py:handle_request():146] handle_request: status_report
2024-01-15 00:33:31,291 DEBUG   HandlerThread:37751 [handler.py:handle_request():146] handle_request: status_report
2024-01-15 00:33:31,638 INFO    Thread-17 :37751 [dir_watcher.py:_on_file_modified():288] file/dir modified: /Users/miav1/Desktop/university/2023/github/stable-diffusion-finetune/wandb/run-20240115_003259-tqn5wf5y/files/config.yaml
2024-01-15 00:33:35,061 DEBUG   HandlerThread:37751 [handler.py:handle_request():146] handle_request: internal_messages
2024-01-15 00:33:35,061 DEBUG   HandlerThread:37751 [handler.py:handle_request():146] handle_request: stop_status
2024-01-15 00:33:35,061 DEBUG   SenderThread:37751 [sender.py:send_request():409] send_request: stop_status
2024-01-15 00:33:37,290 DEBUG   HandlerThread:37751 [handler.py:handle_request():146] handle_request: status_report
2024-01-15 00:33:42,305 DEBUG   HandlerThread:37751 [handler.py:handle_request():146] handle_request: status_report
2024-01-15 00:33:47,313 DEBUG   HandlerThread:37751 [handler.py:handle_request():146] handle_request: status_report
2024-01-15 00:33:50,064 DEBUG   HandlerThread:37751 [handler.py:handle_request():146] handle_request: stop_status
2024-01-15 00:33:50,065 DEBUG   HandlerThread:37751 [handler.py:handle_request():146] handle_request: internal_messages
2024-01-15 00:33:50,065 DEBUG   SenderThread:37751 [sender.py:send_request():409] send_request: stop_status
2024-01-15 00:33:53,272 DEBUG   HandlerThread:37751 [handler.py:handle_request():146] handle_request: status_report
2024-01-15 00:33:58,285 DEBUG   HandlerThread:37751 [handler.py:handle_request():146] handle_request: status_report
2024-01-15 00:33:59,772 DEBUG   SystemMonitor:37751 [system_monitor.py:_start():172] Starting system metrics aggregation loop
2024-01-15 00:33:59,775 DEBUG   SenderThread:37751 [sender.py:send():382] send: stats
2024-01-15 00:34:03,780 DEBUG   HandlerThread:37751 [handler.py:handle_request():146] handle_request: status_report
2024-01-15 00:34:05,068 DEBUG   HandlerThread:37751 [handler.py:handle_request():146] handle_request: stop_status
2024-01-15 00:34:05,069 DEBUG   HandlerThread:37751 [handler.py:handle_request():146] handle_request: internal_messages
2024-01-15 00:34:05,069 DEBUG   SenderThread:37751 [sender.py:send_request():409] send_request: stop_status
2024-01-15 00:34:09,262 DEBUG   HandlerThread:37751 [handler.py:handle_request():146] handle_request: status_report
2024-01-15 00:34:14,276 DEBUG   HandlerThread:37751 [handler.py:handle_request():146] handle_request: status_report
2024-01-15 00:34:19,287 DEBUG   HandlerThread:37751 [handler.py:handle_request():146] handle_request: status_report
